"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite56Kb:MemAlloc","thrpt",3,5,3166518.528000,1341849.857238,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite56Kb:ThreadCPU","thrpt",3,5,5227.200000,716.630595,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite614Kb","thrpt",3,5,741.527192,225.464491,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite614Kb:GC-Collections","thrpt",3,5,24.200000,16.651531,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite614Kb:GC-Time","thrpt",3,5,84.400000,45.202033,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite614Kb:JVMCPU","thrpt",3,5,29434.000000,8757.298965,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite614Kb:MemAlloc","thrpt",3,5,11046679.590000,8969490.531242,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite614Kb:ThreadCPU","thrpt",3,5,9326.200000,9249.311401,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb","thrpt",3,5,393.811933,232.419393,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:GC-Collections","thrpt",3,5,7.600000,12.654507,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:GC-Time","thrpt",3,5,37.000000,65.120298,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:JVMCPU","thrpt",3,5,19388.000000,1910.905085,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:MemAlloc","thrpt",3,5,3023813.230000,2657281.801636,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:ThreadCPU","thrpt",3,5,6306.600000,2075.174856,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb","thrpt",3,5,360.447885,203.604775,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:GC-Collections","thrpt",3,5,8.800000,6.327254,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:GC-Time","thrpt",3,5,29.400000,40.623837,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:JVMCPU","thrpt",3,5,15170.000000,357.094028,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:MemAlloc","thrpt",3,5,7460789.798000,6748530.783639,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:ThreadCPU","thrpt",3,5,4973.400000,31.116443,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb","thrpt",3,5,410.890130,172.150292,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:GC-Collections","thrpt",3,5,9.400000,7.984865,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:GC-Time","thrpt",3,5,33.800000,49.865467,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:JVMCPU","thrpt",3,5,16988.000000,2622.313960,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:MemAlloc","thrpt",3,5,3003320.472000,527749.325249,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:ThreadCPU","thrpt",3,5,5635.600000,1265.598937,"ThreadCPU ms"
